"","host_species","betacov","pred_med"
"132","Cyttarops alecto",0,0.0164662289086858
"133","Desmodus rotundus",0,0.759957113803441
"134","Diaemus youngi",0,0.807886658281118
"135","Diclidurus albus",0,0.365307400319386
"136","Diclidurus ingens",0,0.0442522262593629
"137","Diclidurus isabellus",0,0.0231840363720397
"138","Diclidurus scutatus",0,0.0463430516791252
"139","Diphylla ecaudata",0,0.812411128874961
"140","Dobsonia anderseni",0,0.101192752288588
"141","Dobsonia beauforti",0,0.134346041836122
"142","Dobsonia chapmani",0,0.481907539070757
"143","Dobsonia crenulata",0,0.33267033892825
"144","Dobsonia emersa",0,0.158348513985097
"145","Dobsonia exoleta",0,0.346427038789644
"146","Dobsonia inermis",0,0.0747677384560351
"147","Dobsonia magna",0,0.227230751557235
"148","Dobsonia minor",0,0.234618643422959
"149","Dobsonia moluccensis",1,0.0927746731024053
"150","Dobsonia pannietensis",0,0.0696535847632735
"151","Dobsonia peronii",0,0.291084341007461
"152","Dobsonia praedatrix",0,0.101320901728512
"153","Dobsonia viridis",0,0.460734721979743
"154","Dyacopterus brooksi",0,0.124287754439995
"155","Dyacopterus spadiceus",1,0.464067737170016
"156","Ectophylla alba",0,0.0212334759980721
"157","Eidolon dupreanum",1,0.532905476748199
"158","Eidolon helvum",1,0.9768010331779
"159","Emballonura alecto",0,0.517235285925352
"160","Emballonura atrata",0,0.0653362705381263
"161","Emballonura beccarii",0,0.017529899998806
"162","Emballonura dianae",0,0.0166419702163875
"163","Emballonura furax",0,0.0311210719386436
"164","Emballonura monticola",0,0.236025438309693
"165","Emballonura raffrayana",0,0.0553841783311917
"166","Emballonura semicaudata",0,0.061478592658754
"167","Emballonura serii",0,0.00951869309032933
"168","Enchisthenes hartii",0,0.251023976769049
"169","Eonycteris major",0,0.431676585501701
"170","Eonycteris robusta",0,0.31609013885161
"171","Eonycteris spelaea",1,0.949915046301191
"172","Epomophorus angolensis",0,0.129184702206176
"173","Epomophorus crypturus",0,0.500976465704044
"174","Epomophorus gambianus",1,0.785377780280979
"175","Epomophorus grandis",0,0.131989802583395
"176","Epomophorus labiatus",1,0.83911659299973
"177","Epomophorus minimus",0,0.479864343761127
"178","Epomophorus minor",0,0.499233350713718
"179","Epomophorus wahlbergi",0,0.870582530806795
"180","Epomops buettikoferi",0,0.3153592118365
"181","Epomops dobsonii",0,0.376998969042543
"182","Epomops franqueti",1,0.693563410022495
"183","Eptesicus andinus",0,0.0470968445066656
"184","Eptesicus bobrinskoi",0,0.367128751395071
"185","Eptesicus bottae",0,0.729892132166633
"186","Eptesicus brasiliensis",0,0.427805446517871
"187","Eptesicus chiriquinus",0,0.0410906777904886
"188","Eptesicus diminutus",0,0.069784049077906
"189","Eptesicus dimissus",0,0.0502861394200951
"190","Eptesicus floweri",0,0.0473447253497181
"191","Eptesicus furinalis",0,0.37115489542463
"192","Eptesicus fuscus",0,0.620016459168093
"193","Eptesicus gobiensis",0,0.563377213492466
"194","Eptesicus guadeloupensis",0,0.0356279980826628
"195","Eptesicus hottentotus",0,0.204165958541112
"196","Eptesicus innoxius",0,0.0101579275882374
"197","Eptesicus japonensis",0,0.353597323870557
"198","Eptesicus kobayashii",0,0.460071565075
"199","Eptesicus matroka",0,0.108119528163239
"200","Eptesicus nasutus",0,0.50454374652406
"201","Eptesicus nilssonii",1,0.90666137218441
"202","Eptesicus pachyotis",0,0.417528507718382
"203","Eptesicus platyops",0,0.0568084264028714
"204","Eptesicus serotinus",1,0.969806478483445
"205","Eptesicus tatei",0,0.21490533427572
"206","Erophylla bombifrons",0,0.04428390234086
"207","Erophylla sezekorni",0,0.118039640741692
"208","Euderma maculatum",0,0.200412125978686
"209","Eudiscopus denticulus",0,0.198675562361856
"210","Eumops auripendulus",0,0.751896329892969
"211","Eumops bonariensis",0,0.4157889064528
"212","Eumops dabbenei",0,0.194561371578286
"213","Eumops glaucinus",1,0.559356361150393
"214","Eumops hansae",0,0.0238246522500423
"215","Eumops maurus",0,0.0284252446423246
"216","Eumops patagonicus",0,0.0258714604829506
"217","Eumops perotis",0,0.836101839050828
"218","Eumops trumbulli",0,0.0574083811424391
"219","Eumops underwoodi",0,0.291079877399741
"220","Falsistrellus affinis",0,0.641407963787043
"221","Falsistrellus mackenziei",0,0.0986705335997267
"222","Falsistrellus mordax",0,0.0653546799639971
"223","Falsistrellus petersi",0,0.28059572221555
"224","Falsistrellus tasmaniensis",0,0.203820898034623
"225","Furipterus horrens",0,0.0979254950020513
"226","Glauconycteris alboguttata",0,0.0226261193366302
"227","Glauconycteris argentata",0,0.223888277123121
"228","Glauconycteris beatrix",0,0.0424308368302813
"229","Glauconycteris curryae",0,0.0275054842611372
"230","Glauconycteris egeria",0,0.0295587408328318
"231","Glauconycteris gleni",0,0.0618730639858298
"232","Glauconycteris humeralis",0,0.0479437007309651
"233","Glauconycteris kenyacola",0,0.0213645044531818
"234","Glauconycteris machadoi",0,0.0130479718377586
"235","Glauconycteris poensis",0,0.0599939622970254
"236","Glauconycteris superba",0,0.0539843076743746
"237","Glauconycteris variegata",0,0.660101290908212
"238","Glischropus javanus",0,0.0319387608412484
"239","Glischropus tylopus",0,0.231579806401321
"240","Glossophaga commissarisi",0,0.116031377758854
"241","Glossophaga leachii",0,0.0292509578279732
"242","Glossophaga longirostris",0,0.0250401372153021
"243","Glossophaga morenoi",0,0.0325364550243309
"244","Glossophaga soricina",0,0.567132781104922
"245","Glyphonycteris behnii",0,0.0241526168266595
"246","Glyphonycteris daviesi",0,0.119957023813676
"247","Glyphonycteris sylvestris",0,0.257471339851416
"248","Haplonycteris fischeri",0,0.40112098938121
"249","Harpiocephalus harpia",0,0.630545487017828
"250","Harpiocephalus mordax",0,0.477998820745305
"251","Harpyionycteris celebensis",0,0.287008977870164
"252","Harpyionycteris whiteheadi",0,0.643204187258638
"253","Hesperoptenus blanfordi",0,0.154156613615408
"254","Hesperoptenus doriae",0,0.033411790635799
"255","Hesperoptenus gaskelli",0,0.0211949248700885
"256","Hesperoptenus tickelli",0,0.696806383930704
"257","Hesperoptenus tomesi",0,0.10154364166066
"258","Hipposideros abae",0,0.256303271249464
"259","Hipposideros armiger",1,0.966804777207567
"260","Hipposideros ater",0,0.804300586806171
"261","Hipposideros beatus",0,0.0976861794471877
"262","Hipposideros bicolor",0,0.296025114567984
"263","Hipposideros breviceps",0,0.0448343152504261
"264","Hipposideros caffer",1,0.951248598499558
"265","Hipposideros calcaratus",0,0.0414298062055747
"266","Hipposideros camerunensis",0,0.124022423959163
"267","Hipposideros cervinus",0,0.196184013115443
"268","Hipposideros cineraceus",0,0.600520022071431
"269","Hipposideros commersoni",0,0.964722520736877
"270","Hipposideros coronatus",0,0.0715798111306123
"271","Hipposideros corynophyllus",0,0.0262491551157362
"272","Hipposideros coxi",0,0.0494480371050507
"273","Hipposideros crumeniferus",0,0.0738189056050623
"274","Hipposideros curtus",0,0.0235601965877033
"275","Hipposideros cyclops",0,0.561518277259146
"276","Hipposideros demissus",0,0.00899572535126281
"277","Hipposideros diadema",0,0.823892109278707
"278","Hipposideros dinops",0,0.0250078992565551
"279","Hipposideros doriae",0,0.0347322338520929
"280","Hipposideros durgadasi",0,0.0950434060071268
"281","Hipposideros dyacorum",0,0.0798174824612583
"282","Hipposideros edwardshilli",0,0.0138213001765514
"283","Hipposideros fuliginosus",0,0.258358219448634
"284","Hipposideros fulvus",0,0.816351684070314
"285","Hipposideros galeritus",1,0.596102412479603
"286","Hipposideros gigas",0,0.802041523630331
"287","Hipposideros grandis",0,0.289379841192331
"288","Hipposideros halophyllus",0,0.0639183850045641
"289","Hipposideros hypophyllus",0,0.0783459402252297
"290","Hipposideros inexpectatus",0,0.0570645655941853
"291","Hipposideros inornatus",0,0.138416673246193
"292","Hipposideros jonesi",0,0.113000712418217
"293","Hipposideros lamottei",0,0.0833311938027253
"294","Hipposideros lankadiva",0,0.824724811602202
"295","Hipposideros larvatus",0,0.893304244251133
"296","Hipposideros lekaguli",0,0.363759728143501
"297","Hipposideros lylei",0,0.689968671525637
"298","Hipposideros macrobullatus",0,0.0569701527167668
"299","Hipposideros madurae",0,0.0799414929893778
"300","Hipposideros maggietaylorae",0,0.0450483122221474
"301","Hipposideros marisae",0,0.0295696041189976
"302","Hipposideros megalotis",0,0.0527740918454498
"303","Hipposideros muscinus",0,0.0290427607977504
"304","Hipposideros nequam",0,0.0494268904553254
"305","Hipposideros obscurus",0,0.195411942977232
"306","Hipposideros orbiculus",0,0.0353472499327289
"307","Hipposideros papua",0,0.0420426208616238
"308","Hipposideros pelingensis",0,0.0321665276645326
"309","Hipposideros pomona",0,0.902381928554635
"310","Hipposideros pratti",1,0.933835102662189
"311","Hipposideros pygmaeus",0,0.154409827554374
"312","Hipposideros ridleyi",0,0.181004145411803
"313","Hipposideros rotalis",0,0.169026561665921
"314","Hipposideros ruber",1,0.48764162060453
"315","Hipposideros scutinares",0,0.41287976861327
"316","Hipposideros semoni",0,0.0753113500930604
"317","Hipposideros sorenseni",0,0.039289421033211
"318","Hipposideros speoris",0,0.746352762126546
"319","Hipposideros stenotis",0,0.153681609265048
"320","Hipposideros sumbae",0,0.043137491863136
"321","Hipposideros thomensis",0,0.0174249186150267
"322","Hipposideros turpis",0,0.727640248637465
"323","Hipposideros vittatus",0,0.635467735949269
"324","Hipposideros wollastoni",0,0.0219122564339512
"325","Histiotus alienus",0,0.0324894835177324
"326","Histiotus humboldti",0,0.413102491432843
"327","Histiotus laephotis",0,0.0220794615980016
"328","Histiotus macrotus",0,0.0393767648258229
"329","Histiotus magellanicus",0,0.0191534096325023
"330","Histiotus montanus",0,0.0939637656862699
"331","Histiotus velatus",0,0.154019386841604
"332","Hylonycteris underwoodi",0,0.0531908675203497
"333","Hypsignathus monstrosus",0,0.882345321956512
"334","Hypsugo alaschanicus",0,0.483650507321629
"335","Hypsugo anchietae",0,0.0722081197051264
"336","Hypsugo anthonyi",0,0.12316517326746
"337","Hypsugo arabicus",0,0.077302786630309
"338","Hypsugo ariel",0,0.100631433952748
"339","Hypsugo bodenheimeri",0,0.187927330333369
"340","Hypsugo cadornae",0,0.644944195023364
"341","Hypsugo crassulus",0,0.0351103225829809
"342","Hypsugo eisentrauti",0,0.0824864140468073
"343","Hypsugo imbricatus",0,0.0929633879909276
"344","Hypsugo joffrei",0,0.101445207220726
"345","Hypsugo kitcheneri",0,0.0239180056741374
"346","Hypsugo lophurus",0,0.0252549728242693
"347","Hypsugo macrotis",0,0.0480472825714589
"348","Hypsugo musciculus",0,0.02493343377528
"349","Hypsugo pulveratus",0,0.804183097741112
"350","Hypsugo savii",1,0.847249292653493
"351","Hypsugo vordermanni",0,0.0278033741035076
"352","Ia io",1,0.891891173887594
"353","Idionycteris phyllotis",0,0.132459440659626
"354","Kerivoula africana",0,0.416849251847811
"355","Kerivoula agnella",0,0.00844574431034544
"356","Kerivoula argentata",0,0.16125105611449
"357","Kerivoula cuprosa",0,0.0347716801872991
"358","Kerivoula eriophora",0,0.0252076252861449
"359","Kerivoula flora",0,0.0646413977824188
"360","Kerivoula hardwickii",0,0.814250520789937
"361","Kerivoula intermedia",0,0.0497129900714465
"362","Kerivoula lanosa",0,0.387986934183806
"363","Kerivoula lenis",0,0.410782637381588
"364","Kerivoula minuta",0,0.0439914905013309
"365","Kerivoula muscina",0,0.0141374017982051
"366","Kerivoula myrella",0,0.00839226350508283
"367","Kerivoula papillosa",0,0.34976018549272
"368","Kerivoula pellucida",0,0.155852926037972
"369","Kerivoula phalaena",0,0.0237691418197902
"370","Kerivoula picta",0,0.769034772290553
"371","Kerivoula smithii",0,0.0367995880916242
"372","Kerivoula whiteheadi",0,0.188399055043217
"373","Laephotis angolensis",0,0.0143667742644839
"374","Laephotis botswanae",0,0.0351889703466155
"375","Laephotis namibensis",0,0.017750575204037
"376","Laephotis wintoni",0,0.210242587775831
"377","Lampronycteris brachyotis",0,0.0459714355200361
"378","Lasionycteris noctivagans",0,0.468739790506135
"379","Lasiurus atratus",0,0.412213873492525
"380","Lasiurus blossevillii",0,0.37721593657352
"381","Lasiurus borealis",0,0.352481965098926
"382","Lasiurus castaneus",0,0.00774268602508376
"383","Lasiurus cinereus",0,0.730163917464206
"384","Lasiurus degelidus",0,0.0145716935298536
"385","Lasiurus ebenus",0,0.0171660266896539
"386","Lasiurus ega",0,0.730252514130529
"387","Lasiurus egregius",0,0.0501387628060437
"388","Lasiurus insularis",0,0.033357834556865
"389","Lasiurus intermedius",0,0.261962218102447
"390","Lasiurus minor",0,0.0229747993237259
"391","Lasiurus pfeifferi",0,0.0332330175323264
"392","Lasiurus salinae",0,0.411399086918957
"393","Lasiurus seminolus",0,0.169463341908178
"394","Lasiurus varius",0,0.411971432660345
"395","Lasiurus xanthinus",0,0.0731456725407961
"396","Latidens salimalii",0,0.169242483359501
"397","Lavia frons",0,0.888637443835006
"398","Leptonycteris curasoae",0,0.0602011010015363
"399","Leptonycteris nivalis",0,0.202935670237143
"400","Leptonycteris yerbabuenae",0,0.192366188938151
"401","Lichonycteris obscura",0,0.0766114140356328
"402","Lionycteris spurrelli",0,0.0436243205964276
"403","Lissonycteris angolensis",0,0.836527825293601
"404","Lonchophylla bokermanni",0,0.0184848704452862
"405","Lonchophylla dekeyseri",0,0.00840638947989468
"406","Lonchophylla handleyi",0,0.0155577641848994
"407","Lonchophylla hesperia",0,0.011932301908564
"408","Lonchophylla mordax",0,0.119042627371983
"409","Lonchophylla robusta",0,0.0245400579950889
"410","Lonchophylla thomasi",0,0.0385352686017213
"411","Lonchorhina aurita",0,0.552732610367373
"412","Lonchorhina fernandezi",0,0.0100890541053326
"413","Lonchorhina inusitata",0,0.014812650157992
"414","Lonchorhina marinkellei",0,0.026789938386112
"415","Lonchorhina orinocensis",0,0.0167118483216561
"416","Lophostoma brasiliense",0,0.145694130181814
"417","Lophostoma carrikeri",0,0.0623344130775667
"418","Lophostoma evotis",0,0.0669437185664078
"419","Lophostoma schulzi",0,0.0161472605261547
"420","Lophostoma silvicolum",0,0.527572396224294
"421","Macroderma gigas",0,0.487446562233551
"422","Macroglossus minimus",0,0.44582008325538
"423","Macroglossus sobrinus",0,0.83955686156972
"424","Macrophyllum macrophyllum",0,0.282528062255248
"425","Macrotus californicus",0,0.102907834096123
"426","Macrotus waterhousii",0,0.216474620520867
"427","Megaderma lyra",0,0.965527428388713
"428","Megaderma spasma",0,0.918774956338764
"429","Megaerops ecaudatus",0,0.680067755231003
"430","Megaerops kusnotoi",0,0.116024899972199
"431","Megaerops niphanae",1,0.651985319732965
"432","Megaerops wetmorei",0,0.315779746495278
"433","Megaloglossus woermanni",1,0.12393357803783
"434","Melonycteris fardoulisi",0,0.0119007109632774
"435","Melonycteris melanops",0,0.047317766366671
"436","Melonycteris woodfordi",0,0.0284196877985821
"437","Mesophylla macconnelli",0,0.0571953557577727
"438","Micronycteris brosseti",0,0.0146788442955411
"439","Micronycteris hirsuta",0,0.0509137555083612
"440","Micronycteris homezi",0,0.0181008415650148
"441","Micronycteris matses",0,0.00655315498183857
"442","Micronycteris megalotis",0,0.13237002198004
"443","Micronycteris microtis",0,0.106121835176668
"444","Micronycteris minuta",0,0.156180202061892
"445","Micronycteris sanborni",0,0.0167223039911274
"446","Micronycteris schmidtorum",0,0.0963808882971915
"447","Micropteropus intermedius",0,0.119119190957797
"448","Micropteropus pusillus",1,0.698291584984703
"449","Mimetillus moloneyi",0,0.276253800671573
"450","Mimon bennettii",0,0.215302270653757
"451","Mimon cozumelae",0,0.0779169383278385
"452","Mimon crenulatum",0,0.325204838710856
"453","Mimon koepckeae",0,0.00818818063025891
"454","Miniopterus africanus",0,0.126687696740057
"455","Miniopterus australis",0,0.175034497420317
"456","Miniopterus fraterculus",0,0.205022444336519
"457","Miniopterus fuscus",0,0.32150997934113
"458","Miniopterus gleni",0,0.0815599755081431
"459","Miniopterus inflatus",0,0.302358551936687
"460","Miniopterus macrocneme",0,0.0396826966501227
"461","Miniopterus magnater",0,0.556711068273297
"462","Miniopterus majori",0,0.132317160104525
"463","Miniopterus manavi",0,0.146992665798746
"464","Miniopterus medius",0,0.187888951491066
"465","Miniopterus minor",0,0.0592921724025731
"466","Miniopterus natalensis",0,0.471124097346056
"467","Miniopterus paululus",0,0.423787935592471
"468","Miniopterus pusillus",0,0.489740866580313
"469","Miniopterus robustior",0,0.0172396162742718
"470","Miniopterus schreibersii",1,0.942443248429327
"471","Miniopterus shortridgei",0,0.413322867370372
"472","Miniopterus tristis",0,0.322409316758656
"473","Molossops aequatorianus",0,0.0117328879118829
"474","Molossops mattogrossensis",0,0.0628203294361049
"475","Molossops neglectus",0,0.0567974964644278
"476","Molossops temminckii",0,0.102251167738789
"477","Molossus aztecus",0,0.0400585093532821
"478","Molossus barnesi",0,0.00923855005476162
"479","Molossus coibensis",0,0.0527024988520595
"480","Molossus currentium",0,0.0336436164837675
"481","Molossus molossus",0,0.520549792675538
"482","Molossus pretiosus",0,0.139448960388343
"483","Molossus rufus",0,0.571226917989941
"484","Molossus sinaloae",0,0.187482465479378
"485","Monophyllus plethodon",0,0.0498702222118052
"486","Monophyllus redmani",0,0.038315315601995
"487","Mops brachypterus",0,0.177995302458551
"488","Mops condylurus",1,0.879395805074094
"489","Mops congicus",0,0.23202610781683
"490","Mops demonstrator",0,0.0448940515544401
"491","Mops leucostigma",0,0.18933224724466
"492","Mops midas",0,0.848463698241853
"493","Mops mops",0,0.167546062787148
"494","Mops nanulus",0,0.115029233511551
"495","Mops niangarae",0,0.0162902025393296
"496","Mops niveiventer",0,0.161448569548437
"497","Mops petersoni",0,0.0206014915057926
"498","Mops sarasinorum",0,0.195038337594591
"499","Mops spurrelli",0,0.0323039542419141
"500","Mops thersites",0,0.281069304015622
"501","Mops trevori",0,0.0554595044796611
"502","Mormoops blainvillei",0,0.0565111706535391
"503","Mormoops magna",0,0.412754404178186
"504","Mormoops megalophylla",0,0.435685092654189
"505","Mormopterus acetabulosus",0,0.0962219889208773
"506","Mormopterus beccarii",0,0.229113664750983
"507","Mormopterus doriae",0,0.0310991897674551
"508","Mormopterus jugularis",0,0.0766763100727266
"509","Mormopterus kalinowskii",0,0.010337147914939
"510","Mormopterus loriae",0,0.0899682096186967
"511","Mormopterus minutus",0,0.0260146007662117
"512","Mormopterus norfolkensis",0,0.0482086303346529
"513","Mormopterus phrudus",0,0.00598527811709889
"514","Mormopterus planiceps",0,0.169486346260899
"515","Mosia nigrescens",0,0.0483296399419795
"516","Murina aenea",0,0.051332604987214
"517","Murina aurata",0,0.454848317777662
"518","Murina cyclotis",0,0.704459319532121
"519","Murina florium",0,0.0285538718810915
"520","Murina fusca",0,0.404201584721847
"521","Murina grisea",0,0.162653814491198
"522","Murina hilgendorfi",0,0.718779901707913
"523","Murina huttoni",0,0.717425010162792
